Регион,Тип города,Город,Часовой пояс
Адыгея,г,Адыгейск,UTC3
Адыгея,г,Майкоп,UTC4
Алтай,г,Горно-Алтайск,UTC9
Алтайский,г,Алейск,UTC10
Алтайский,г,Барнаул,UTC11
Алтайский,г,Белокуриха,UTC12
Алтайский,г,Бийск,UTC13
Алтайский,г,Горняк,UTC14
Алтайский,г,Заринск,UTC15
Алтайский,г,Змеиногорск,UTC16
Алтайский,г,Камень-на-Оби,UTC17
Алтайский,г,Новоалтайск,UTC18
Алтайский,г,Рубцовск,UTC19
Алтайский,г,Славгород,UTC20
Алтайский,г,Яровое,UTC21
Амурская,г,Белогорск,UTC24
Амурская,г,Благовещенск,UTC25
Амурская,г,Завитинск,UTC26
Амурская,г,Зея,UTC27
Амурская,г,Райчихинск,UTC28
Амурская,г,Свободный,UTC29
Амурская,г,Сковородино,UTC30
Амурская,г,Тында,UTC31
Амурская,г,Циолковский,UTC32
Амурская,г,Шимановск,UTC33
Архангельская,г,Архангельск,UTC28
Архангельская,г,Вельск,UTC29
Архангельская,г,Каргополь,UTC30
Архангельская,г,Коряжма,UTC31
Архангельская,г,Котлас,UTC32
Архангельская,г,Мезень,UTC33
Архангельская,г,Мирный,UTC34
Архангельская,г,Новодвинск,UTC35
Архангельская,г,Няндома,UTC36
Архангельская,г,Онега,UTC37
Архангельская,г,Северодвинск,UTC38
Архангельская,г,Сольвычегодск,UTC39
Архангельская,г,Шенкурск,UTC40
Астраханская,г,Астрахань,UTC42
Астраханская,г,Ахтубинск,UTC43
Астраханская,г,Знаменск,UTC44
Астраханская,г,Камызяк,UTC45
Астраханская,г,Нариманов,UTC46
Астраханская,г,Харабали,UTC47
Башкортостан,г,Агидель,UTC49
Башкортостан,г,Баймак,UTC50
Башкортостан,г,Белебей,UTC51
Башкортостан,г,Белорецк,UTC52
Башкортостан,г,Бирск,UTC53
Башкортостан,г,Благовещенск,UTC54
Башкортостан,г,Давлеканово,UTC55
Башкортостан,г,Дюртюли,UTC56
Башкортостан,г,Ишимбай,UTC57
Башкортостан,г,Кумертау,UTC58
Башкортостан,г,Межгорье,UTC59
Башкортостан,г,Мелеуз,UTC60
Башкортостан,г,Нефтекамск,UTC61
Башкортостан,г,Октябрьский,UTC62
Башкортостан,г,Салават,UTC63
Башкортостан,г,Сибай,UTC64
Башкортостан,г,Стерлитамак,UTC65
Башкортостан,г,Туймазы,UTC66
Башкортостан,г,Уфа,UTC67
Башкортостан,г,Учалы,UTC68
Башкортостан,г,Янаул,UTC69
Белгородская,г,Алексеевка,UTC68
Белгородская,г,Белгород,UTC69
Белгородская,г,Бирюч,UTC70
Белгородская,г,Валуйки,UTC71
Белгородская,г,Грайворон,UTC72
Белгородская,г,Губкин,UTC73
Белгородская,г,Короча,UTC74
Белгородская,г,Новый Оскол,UTC75
Белгородская,г,Старый Оскол,UTC76
Белгородская,г,Строитель,UTC77
Белгородская,г,Шебекино,UTC78
Брянская,г,Брянск,UTC79
Брянская,г,Дятьково,UTC80
Брянская,г,Жуковка,UTC81
Брянская,г,Злынка,UTC82
Брянская,г,Карачев,UTC83
Брянская,г,Клинцы,UTC84
Брянская,г,Мглин,UTC85
Брянская,г,Новозыбков,UTC86
Брянская,г,Почеп,UTC87
Брянская,г,Севск,UTC88
Брянская,г,Сельцо,UTC89
Брянская,г,Стародуб,UTC90
Брянская,г,Сураж,UTC91
Брянская,г,Трубчевск,UTC92
Брянская,г,Унеча,UTC93
Брянская,г,Фокино,UTC94
Бурятия,г,Бабушкин,UTC100
Бурятия,г,Гусиноозерск,UTC101
Бурятия,г,Закаменск,UTC102
Бурятия,г,Кяхта,UTC103
Бурятия,г,Северобайкальск,UTC104
Бурятия,г,Улан-Удэ,UTC105
Владимирская,г,Александров,UTC101
Владимирская,г,Владимир,UTC102
Владимирская,г,Вязники,UTC103
Владимирская,г,Гороховец,UTC104
Владимирская,г,Гусь-Хрустальный,UTC105
Владимирская,г,Камешково,UTC106
Владимирская,г,Карабаново,UTC107
Владимирская,г,Киржач,UTC108
Владимирская,г,Ковров,UTC109
Владимирская,г,Кольчугино,UTC110
Владимирская,г,Костерево,UTC111
Владимирская,г,Курлово,UTC112
Владимирская,г,Лакинск,UTC113
Владимирская,г,Меленки,UTC114
Владимирская,г,Муром,UTC115
Владимирская,г,Петушки,UTC116
Владимирская,г,Покров,UTC117
Владимирская,г,Радужный,UTC118
Владимирская,г,Собинка,UTC119
Владимирская,г,Струнино,UTC120
Владимирская,г,Судогда,UTC121
Владимирская,г,Суздаль,UTC122
Владимирская,г,Юрьев-Польский,UTC123
Волгоградская,г,Волгоград,UTC124
Волгоградская,г,Волжский,UTC125
Волгоградская,г,Дубовка,UTC126
Волгоградская,г,Жирновск,UTC127
Волгоградская,г,Калач-на-Дону,UTC128
Волгоградская,г,Камышин,UTC129
Волгоградская,г,Котельниково,UTC130
Волгоградская,г,Котово,UTC131
Волгоградская,г,Краснослободск,UTC132
Волгоградская,г,Ленинск,UTC133
Волгоградская,г,Михайловка,UTC134
Волгоградская,г,Николаевск,UTC135
Волгоградская,г,Новоаннинский,UTC136
Волгоградская,г,Палласовка,UTC137
Волгоградская,г,Петров Вал,UTC138
Волгоградская,г,Серафимович,UTC139
Волгоградская,г,Суровикино,UTC140
Волгоградская,г,Урюпинск,UTC141
Волгоградская,г,Фролово,UTC142
Вологодская,г,Бабаево,UTC143
Вологодская,г,Белозерск,UTC144
Вологодская,г,Великий Устюг,UTC145
Вологодская,г,Вологда,UTC146
Вологодская,г,Вытегра,UTC147
Вологодская,г,Грязовец,UTC148
Вологодская,г,Кадников,UTC149
Вологодская,г,Кириллов,UTC150
Вологодская,г,Красавино,UTC151
Вологодская,г,Никольск,UTC152
Вологодская,г,Сокол,UTC153
Вологодская,г,Тотьма,UTC154
Вологодская,г,Устюжна,UTC155
Вологодская,г,Харовск,UTC156
Вологодская,г,Череповец,UTC157
Воронежская,г,Бобров,UTC158
Воронежская,г,Богучар,UTC159
Воронежская,г,Борисоглебск,UTC160
Воронежская,г,Бутурлиновка,UTC161
Воронежская,г,Воронеж,UTC162
Воронежская,г,Калач,UTC163
Воронежская,г,Лиски,UTC164
Воронежская,г,Нововоронеж,UTC165
Воронежская,г,Новохоперск,UTC166
Воронежская,г,Острогожск,UTC167
Воронежская,г,Павловск,UTC168
Воронежская,г,Поворино,UTC169
Воронежская,г,Россошь,UTC170
Воронежская,г,Семилуки,UTC171
Воронежская,г,Эртиль,UTC172
Дагестан,г,Буйнакск,UTC173
Дагестан,г,Дагестанские Огни,UTC174
Дагестан,г,Дербент,UTC175
Дагестан,г,Избербаш,UTC176
Дагестан,г,Каспийск,UTC177
Дагестан,г,Кизилюрт,UTC178
Дагестан,г,Кизляр,UTC179
Дагестан,г,Махачкала,UTC180
Дагестан,г,Хасавюрт,UTC181
Дагестан,г,Южно-Сухокумск,UTC182
Еврейская,г,Биробиджан,UTC190
Еврейская,г,Облучье,UTC191
Забайкальский,г,Балей,UTC191
Забайкальский,г,Борзя,UTC192
Забайкальский,г,Краснокаменск,UTC193
Забайкальский,г,Могоча,UTC194
Забайкальский,г,Нерчинск,UTC195
Забайкальский,г,Петровск-Забайкальский,UTC196
Забайкальский,г,Сретенск,UTC197
Забайкальский,г,Хилок,UTC198
Забайкальский,г,Чита,UTC199
Забайкальский,г,Шилка,UTC200
Ивановская,г,Вичуга,UTC195
Ивановская,г,Гаврилов Посад,UTC196
Ивановская,г,Заволжск,UTC197
Ивановская,г,Иваново,UTC198
Ивановская,г,Кинешма,UTC199
Ивановская,г,Комсомольск,UTC200
Ивановская,г,Кохма,UTC201
Ивановская,г,Наволоки,UTC202
Ивановская,г,Плес,UTC203
Ивановская,г,Приволжск,UTC204
Ивановская,г,Пучеж,UTC205
Ивановская,г,Родники,UTC206
Ивановская,г,Тейково,UTC207
Ивановская,г,Фурманов,UTC208
Ивановская,г,Шуя,UTC209
Ивановская,г,Южа,UTC210
Ивановская,г,Юрьевец,UTC211
Ингушетия,г,Карабулак,UTC212
Ингушетия,г,Магас,UTC213
Ингушетия,г,Малгобек,UTC214
Ингушетия,г,Назрань,UTC215
Иркутская,г,Алзамай,UTC221
Иркутская,г,Ангарск,UTC222
Иркутская,г,Байкальск,UTC223
Иркутская,г,Бирюсинск,UTC224
Иркутская,г,Бодайбо,UTC225
Иркутская,г,Братск,UTC226
Иркутская,г,Вихоревка,UTC227
Иркутская,г,Железногорск-Илимский,UTC228
Иркутская,г,Зима,UTC229
Иркутская,г,Иркутск,UTC230
Иркутская,г,Киренск,UTC231
Иркутская,г,Нижнеудинск,UTC232
Иркутская,г,Саянск,UTC233
Иркутская,г,Свирск,UTC234
Иркутская,г,Слюдянка,UTC235
Иркутская,г,Тайшет,UTC236
Иркутская,г,Тулун,UTC237
Иркутская,г,Усолье-Сибирское,UTC238
